toklen
39
62
39
53
55
66
69
49
32
32
55
40
54
55
30
54
35
44
38
39
36
49
65
30
47
37
42
69
48
50
70
31
36
34
32
47
52
32
61
52
50
41
39
30
30
48
54
32
48
48
27
30
48
50
36
41
45
35
44
59
33
37
42
36
63
49
61
30
27
59
48
41
64
37
62
32
63
56
53
76
60
38
59
47
48
40
32
43
42
64
55
46
54
42
32
47
45
59
51
70
32
57
40
56
65
68
30
40
60
41
39
40
51
31
33
24
36
35
38
63
52
42
45
50
48
45
44
64
43
42
34
45
57
53
41
48
27
25
18
60
43
50
36
40
61
52
37
60
45
41
24
40
60
38
34
52
29
20
48
42
46
34
37
35
55
53
46
49
45
45
53
33
54
43
40
22
15
54
54
52
63
29
47
50
27
46
46
41
61
25
54
66
29
29
38
44
24
45
67
26
28
46
60
44
60
49
64
34
49
34
51
44
50
51
51
35
43
44
47
73
56
25
44
41
51
30
51
58
53
26
39
64
53
38
36
63
34
35
40
35
39
67
56
64
54
34
33
52
42
40
41
55
21
51
39
44
30
29
55
49
47
46
57
58
15
44
47
45
46
45
35
36
56
42
57
29
50
49
61
42
37
41
45
69
41
41
55
33
45
31
56
42
26
51
60
37
54
46
41
36
35
47
21
62
73
44
35
61
37
43
55
65
68
63
48
58
53
27
56
51
20
17
24
49
34
66
40
45
26
46
60
39
51
60
38
52
38
69
46
57
55
16
66
30
38
45
43
71
44
43
36
57
33
42
45
41
47
20
34
54
27
49
52
53
65
66
29
36
34
49
36
45
42
31
57
54
42
74
60
57
40
35
59
45
48
44
38
51
43
52
47
71
40
36
57
35
57
48
42
36
45
61
34
30
39
36
72
51
65
43
43
47
52
58
65
29
58
37
50
60
46
46
54
38
39
34
39
59
49
50
61
42
32
61
30
56
52
35
34
35
52
46
53
64
66
41
34
46
65
71
39
50
49
47
58
52
50
36
68
60
52
45
59
52
43
53
28
61
49
48
35
56
64
33
48
73
41
58
36
52
41
48
42
40
44
48
68
39
54
48
32
38
51
42
53
53
56
42
48
60
40
41
44
51
56
47
65
59
40
48
53
60
36
43
43
51
32
38
61
31
53
33
36
35
68
53
45
58
62
70
26
32
45
48
24
39
54
58
53
37
54
39
57
40
45
52
68
40
37
57
62
68
47
44
